Run,Parameters,Execution_Time,#Triclusters,Coverage_Mean,Coverage_Std,Coverage,MSR_Mean,MSR_Std,MSR,IntraTemporal_Homogeneity,InterTemporal_Homogeneity
1,"{'alpha': 0.05, 'delta': 0.05}",562.7308812141418,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
2,"{'alpha': 0.05, 'delta': 0.1}",596.9420762062073,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
3,"{'alpha': 0.05, 'delta': 0.5}",625.0242373943329,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
4,"{'alpha': 0.05, 'delta': 1}",615.4546625614166,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
5,"{'alpha': 0.05, 'delta': 1.5}",610.723135471344,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
6,"{'alpha': 0.05, 'delta': 2}",835.0786468982697,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
7,"{'alpha': 0.1, 'delta': 0.05}",1056.180485010147,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
8,"{'alpha': 0.1, 'delta': 0.1}",603.2907872200012,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
9,"{'alpha': 0.1, 'delta': 0.5}",591.5111935138702,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
10,"{'alpha': 0.1, 'delta': 1}",911.9689090251923,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
11,"{'alpha': 0.1, 'delta': 1.5}",1010.3726904392242,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
12,"{'alpha': 0.1, 'delta': 2}",628.1987164020538,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
13,"{'alpha': 0.5, 'delta': 0.05}",595.2492206096649,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
14,"{'alpha': 0.5, 'delta': 0.1}",635.5871071815491,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
15,"{'alpha': 0.5, 'delta': 0.5}",594.0553724765778,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
16,"{'alpha': 0.5, 'delta': 1}",634.0969614982605,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
17,"{'alpha': 0.5, 'delta': 1.5}",1252.500087738037,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
18,"{'alpha': 0.5, 'delta': 2}",594.0270321369171,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
19,"{'alpha': 1, 'delta': 0.05}",758.2302665710449,2,0.24,0.02,"{1: 0.26, 2: 0.221}",0.055,0.045,"{1: 0.01, 2: 0.1}","{1: 0.147, 2: 0.213}","{1: 1.0, 2: 0.502}"
20,"{'alpha': 1, 'delta': 0.1}",1605.3594334125519,2,0.24,0.02,"{1: 0.26, 2: 0.221}",0.055,0.045,"{1: 0.01, 2: 0.1}","{1: 0.147, 2: 0.213}","{1: 1.0, 2: 0.502}"
21,"{'alpha': 1, 'delta': 0.5}",693.6402487754822,2,0.24,0.02,"{1: 0.26, 2: 0.221}",0.055,0.045,"{1: 0.01, 2: 0.1}","{1: 0.147, 2: 0.213}","{1: 1.0, 2: 0.502}"
22,"{'alpha': 1, 'delta': 1}",669.5155138969421,2,0.24,0.02,"{1: 0.26, 2: 0.221}",0.055,0.045,"{1: 0.01, 2: 0.1}","{1: 0.147, 2: 0.213}","{1: 1.0, 2: 0.502}"
23,"{'alpha': 1, 'delta': 1.5}",1729.2197616100311,2,0.24,0.02,"{1: 0.26, 2: 0.221}",0.055,0.045,"{1: 0.01, 2: 0.1}","{1: 0.147, 2: 0.213}","{1: 1.0, 2: 0.502}"
24,"{'alpha': 1, 'delta': 2}",715.5739943981171,2,0.24,0.02,"{1: 0.26, 2: 0.221}",0.055,0.045,"{1: 0.01, 2: 0.1}","{1: 0.147, 2: 0.213}","{1: 1.0, 2: 0.502}"
25,"{'alpha': 1.5, 'delta': 0.05}",365.07649540901184,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
26,"{'alpha': 1.5, 'delta': 0.1}",546.4708666801453,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
27,"{'alpha': 1.5, 'delta': 0.5}",343.51039838790894,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
28,"{'alpha': 1.5, 'delta': 1}",556.3297407627106,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
29,"{'alpha': 1.5, 'delta': 1.5}",1098.817557811737,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
30,"{'alpha': 1.5, 'delta': 2}",779.6506109237671,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
31,"{'alpha': 2, 'delta': 0.05}",559.328691482544,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
32,"{'alpha': 2, 'delta': 0.1}",314.8296091556549,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
33,"{'alpha': 2, 'delta': 0.5}",928.4451251029968,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
34,"{'alpha': 2, 'delta': 1}",1191.9418890476227,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
35,"{'alpha': 2, 'delta': 1.5}",616.6823325157166,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
36,"{'alpha': 2, 'delta': 2}",349.47566056251526,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694}
